"";"gps";"sites";"forest";"ind_id";"tag_id";"species";"h";"year";"hnext";"yearnext";"surv";"olre";"cc";"z.cc";"bk1";"z.veg"
"1";"011_T3_50";11;"l";"P1_5";"Fral_se_1002";"Fral";5;2017;NA;2018;0;7;77,93;-0,952467837520116;NA;NA
"2";"011_T3_50";11;"l";"P1_34";"Fral_se_1009";"Fral";3,6;2017;6,3;2018;1;8;77,93;-0,952467837520116;NA;NA
"3";"011_T3_50";11;"l";"P1_27";"Fral_se_1006";"Fral";1,5;2017;NA;2018;0;15;77,93;-0,952467837520116;NA;NA
"5";"011_T3_50";11;"l";"P1_21";"Fral_se_1004";"Fral";3,7;2017;NA;2018;0;13;77,93;-0,952467837520116;NA;NA
"6";"011_T3_50";11;"l";"P1_26";"Fral_se_1005";"Fral";1;2017;NA;2018;0;14;77,93;-0,952467837520116;NA;NA
"8";"011_T3_50";11;"l";"P1_4";"Fral_se_1001";"Fral";3;2017;NA;2018;0;6;77,93;-0,952467837520116;NA;NA
"11";"011_T3_50";11;"l";"51";"Fral_se_2311";"Fral";4,3;2018;NA;2019;0;10;77,93;-0,952467837520116;NA;NA
"12";"011_T3_50";11;"l";"55";"Fral_se_2312";"Fral";3,5;2018;6;2019;1;11;77,93;-0,952467837520116;NA;NA
"13";"011_T3_50";11;"l";"P1_25";"Soau_se_1019";"Soau";2,5;2017;6,3;2018;1;49;77,93;-0,952467837520116;NA;NA
"17";"011_T3_50";11;"l";"41";"Fral_se_2301";"Fral";6;2018;NA;2019;0;16;77,93;-0,952467837520116;NA;NA
"18";"011_T3_50";11;"l";"53";"Soau_se_2302";"Soau";2,4;2018;5;2019;1;54;77,93;-0,952467837520116;NA;NA
"19";"011_T3_50";11;"l";"50";"Fral_se_2310";"Fral";4,5;2018;4,5;2019;1;17;77,93;-0,952467837520116;NA;NA
"21";"011_T3_50";11;"l";"44";"Fral_se_2304";"Fral";4;2018;NA;2019;0;19;77,93;-0,952467837520116;NA;NA
"22";"011_T3_50";11;"l";"45";"Fral_se_2305";"Fral";5,5;2018;5;2019;1;20;77,93;-0,952467837520116;NA;NA
"25";"011_T3_50";11;"l";"P1_24";"Soau_se_1018";"Soau";2;2017;5,7;2018;1;48;77,93;-0,952467837520116;NA;NA
"26";"011_T3_50";11;"l";"43";"Fral_se_2303";"Fral";3,3;2018;3,5;2019;1;23;77,93;-0,952467837520116;NA;NA
"27";"011_T3_50";11;"l";"46";"Fral_se_2306";"Fral";3,9;2018;6,5;2019;1;24;77,93;-0,952467837520116;NA;NA
"28";"011_T3_50";11;"l";"47";"Fral_se_2307";"Fral";5,8;2018;8,5;2019;1;25;77,93;-0,952467837520116;NA;NA
"29";"011_T3_50";11;"l";"48";"Fral_se_2308";"Fral";7,3;2018;NA;2019;0;26;77,93;-0,952467837520116;NA;NA
"30";"011_T3_50";11;"l";"52";"Soau_se_2301";"Soau";4,3;2018;5,7;2019;1;53;77,93;-0,952467837520116;NA;NA
"34";"011_T3_50";11;"l";"P1_33";"Rhca_se_1008";"Rhca";2,6;2017;5,7;2018;1;31;77,93;-0,952467837520116;NA;NA
"36";"011_T3_50";11;"l";"56";"Rini_se_2301";"Rini";3,3;2018;NA;2019;0;33;77,93;-0,952467837520116;NA;NA
